adjective,comment_id,comment_score,item,parent_item,post_id
anklelength,dbf68pq,225.0,pants,pants,5jd2ee
ponte,dbf88v4,78.0,pants,pants,5jd2ee
,dbf88v4,78.0,pants,pants,5jd2ee
dress,dbf6bht,42.0,pants,pants,5jd2ee
,dbf6bht,42.0,pants,pants,5jd2ee
,dbf6bht,42.0,pants,pants,5jd2ee
ponte,dbf6ttt,28.0,pants,pants,5jd2ee
,dbf945e,27.0,pants,pants,5jd2ee
pixie,dbf945e,27.0,pants,pants,5jd2ee
ponte,dbf9kmo,12.0,pants,pants,5jd2ee
,dbf903k,11.0,pants,pants,5jd2ee
,dbf903k,11.0,pants,pants,5jd2ee
,dbf903k,11.0,pants,pants,5jd2ee
,dbfg5wv,10.0,pants,pants,5jd2ee
,dbfg5wv,10.0,pants,pants,5jd2ee
drapey,dbf626p,7.0,pants,pants,5jd2ee
ponte,dbf6zp4,7.0,pants,pants,5jd2ee
,dbfmfpo,8.0,pants,pants,5jd2ee
skinny,dbfmfpo,8.0,pants,pants,5jd2ee
ponte,dbfmfpo,8.0,pants,pants,5jd2ee
,dbfmfpo,8.0,pants,pants,5jd2ee
,dbfmfpo,8.0,pants,pants,5jd2ee
ponte,dbf7ahn,6.0,pants,pants,5jd2ee
,dbg3npu,6.0,pants,pants,5jd2ee
,dbfb9wn,6.0,pants,pants,5jd2ee
,dbfa1j0,5.0,pants,pants,5jd2ee
,dbfa1j0,5.0,pants,pants,5jd2ee
ponte,dbfezfn,3.0,pants,pants,5jd2ee
,dbfezfn,3.0,pants,pants,5jd2ee
,dbfcjvn,3.0,pants,pants,5jd2ee
,dbfcjvn,3.0,pants,pants,5jd2ee
yoga,dbfolvk,3.0,pants,pants,5jd2ee
,dbfolvk,3.0,pants,pants,5jd2ee
,dbfqjzs,3.0,pants,pants,5jd2ee
,dbfqjzs,3.0,pants,pants,5jd2ee
,dbgbkh2,3.0,pants,pants,5jd2ee
,dbf8xn3,2.0,pants,pants,5jd2ee
yoga,dbfhe3e,2.0,pants,pants,5jd2ee
,dbfkrrm,2.0,pants,pants,5jd2ee
,dbfkxc8,2.0,pants,pants,5jd2ee
yoga,dbflmuo,2.0,pants,pants,5jd2ee
yoga,dbflmuo,2.0,pants,pants,5jd2ee
harem,dbfw03o,2.0,pants,pants,5jd2ee
,dbg680z,2.0,pants,pants,5jd2ee
black,dbg680z,2.0,pants,pants,5jd2ee
,dbg680z,2.0,pants,pants,5jd2ee
black,dbqtgpr,2.0,pants,pants,5jd2ee
,dbfi6qg,1.0,pants,pants,5jd2ee
yoga,dbfi6qg,1.0,pants,pants,5jd2ee
pleated,dbfnv1a,1.0,pants,pants,5jd2ee
yoga,dbfo7zw,1.0,pants,pants,5jd2ee
,dbfo7zw,1.0,pants,pants,5jd2ee
yoga,dbfon7j,1.0,pants,pants,5jd2ee
professional,dbfuqfu,1.0,pants,pants,5jd2ee
,dbfuqfu,1.0,pants,pants,5jd2ee
,dbfx1lm,1.0,pants,pants,5jd2ee
,dbg21od,1.0,pants,pants,5jd2ee
,dbg21od,1.0,pants,pants,5jd2ee
,dbgcvsj,1.0,pants,pants,5jd2ee
stirrup,dbgp621,1.0,pants,pants,5jd2ee
,dd0ny3h,1.0,pants,pants,5jd2ee
,dd0ny3h,1.0,pants,pants,5jd2ee
,dfg22vd,1.0,pants,pants,60rrx5
skinny,cl9f62z,41.0,pants,pants,2j8qjg
skinny,cl9f62z,41.0,pants,pants,2j8qjg
skinny,cl9f62z,41.0,pants,pants,2j8qjg
,cl9f62z,41.0,pants,pants,2j8qjg
jeggings,cl9nazo,12.0,pants,pants,2j8qjg
,cmdq9sw,54.0,pants,pants,2nhsr3
,cmdq9sw,54.0,pants,pants,2nhsr3
,cmdq9sw,54.0,pants,pants,2nhsr3
,cmdslvf,12.0,pants,pants,2nhsr3
,cmdslvf,12.0,pants,pants,2nhsr3
,cmds99d,10.0,pants,pants,2nhsr3
petite,cmds99d,10.0,pants,pants,2nhsr3
,cmds99d,10.0,pants,pants,2nhsr3
,cmds99d,10.0,pants,pants,2nhsr3
,cmds99d,10.0,pants,pants,2nhsr3
skinny,cmds99d,10.0,pants,pants,2nhsr3
,cmdr7qf,9.0,pants,pants,2nhsr3
black,cmdr7qf,9.0,pants,pants,2nhsr3
,cmdr7qf,9.0,pants,pants,2nhsr3
,cme2ree,6.0,pants,pants,2nhsr3
,cme2ree,6.0,pants,pants,2nhsr3
,cme2ree,6.0,pants,pants,2nhsr3
,cmdrjhg,3.0,pants,pants,2nhsr3
,cmdrjhg,3.0,pants,pants,2nhsr3
,cmdrjhg,3.0,pants,pants,2nhsr3
,cmdrjhg,3.0,pants,pants,2nhsr3
,cmdy4gg,3.0,pants,pants,2nhsr3
,cmduosu,2.0,pants,pants,2nhsr3
,cmduosu,2.0,pants,pants,2nhsr3
,cme8oa4,2.0,pants,pants,2nhsr3
,cmfrc2k,2.0,pants,pants,2nhsr3
,cmfrc2k,2.0,pants,pants,2nhsr3
,cenqouw,14.0,pants,pants,1v15kq
ankle,cenqouw,14.0,pants,pants,1v15kq
,cenqydk,3.0,pants,pants,1v15kq
,ceo3833,1.0,pants,pants,1v15kq
black,ceo3833,1.0,pants,pants,1v15kq
ponte,chl0vf6,30.0,pants,pants,25v1q4
,chl3bdo,4.0,pants,pants,25v1q4
,c6mzjgo,3.0,pants,pants,11in0z
linen,caezell,6.0,pants,pants,1fy8n9
skinny,e67j63i,66.0,pants,pants,9gx7u9
ankle,e67j63i,66.0,pants,pants,9gx7u9
long,e67j63i,66.0,pants,pants,9gx7u9
,e67j4ax,83.0,pants,pants,9gx7u9
black,e67j4ax,83.0,pants,pants,9gx7u9
paperbag,e67j4ax,83.0,pants,pants,9gx7u9
,e67ila6,19.0,pants,pants,9gx7u9
,e67ynjf,13.0,pants,pants,9gx7u9
,e67ynjf,13.0,pants,pants,9gx7u9
,e6881im,7.0,pants,pants,9gx7u9
length,e6881im,7.0,pants,pants,9gx7u9
cropped,e6az928,3.0,pants,pants,9gx7u9
uncomfortable,e6az928,3.0,pants,pants,9gx7u9
ankle,e686f46,3.0,pants,pants,9gx7u9
,e686f46,3.0,pants,pants,9gx7u9
,e6brity,3.0,pants,pants,9gx7u9
,e68ektq,1.0,pants,pants,9gx7u9
,e68ektq,1.0,pants,pants,9gx7u9
,dlyv3bt,93.0,pants,pants,6vb2gv
palazzo,dlyv3bt,93.0,pants,pants,6vb2gv
,dlywg2t,60.0,pants,pants,6vb2gv
skinny,dlywg2t,60.0,pants,pants,6vb2gv
,dlz56xk,284.0,pants,pants,6vb2gv
,dlz56xk,284.0,pants,pants,6vb2gv
,dlyxof8,56.0,pants,pants,6vb2gv
,dlyw10v,65.0,pants,pants,6vb2gv
,dlyw10v,65.0,pants,pants,6vb2gv
,dlyuvet,15.0,pants,pants,6vb2gv
,dlyuvet,15.0,pants,pants,6vb2gv
,dlywrg6,18.0,pants,pants,6vb2gv
,dlz3umg,17.0,pants,pants,6vb2gv
,dlz3umg,17.0,pants,pants,6vb2gv
,dlzd58t,27.0,pants,pants,6vb2gv
,dlzd58t,27.0,pants,pants,6vb2gv
cropped,dlzd58t,27.0,pants,pants,6vb2gv
skinny,dlzd58t,27.0,pants,pants,6vb2gv
,dlz8it8,8.0,pants,pants,6vb2gv
,dlywv9u,7.0,pants,pants,6vb2gv
appropriate,dlyynog,5.0,pants,pants,6vb2gv
,dlz0kdl,4.0,pants,pants,6vb2gv
skinny,dlz0kdl,4.0,pants,pants,6vb2gv
loft,dlz6i04,4.0,pants,pants,6vb2gv
,dlz6i04,4.0,pants,pants,6vb2gv
,dlz6i04,4.0,pants,pants,6vb2gv
,dlz6i04,4.0,pants,pants,6vb2gv
,dlz1f8i,3.0,pants,pants,6vb2gv
,dlz1f8i,3.0,pants,pants,6vb2gv
colored,dlz2lsm,2.0,pants,pants,6vb2gv
shorter,dlzcwmj,2.0,pants,pants,6vb2gv
,dlzcwmj,2.0,pants,pants,6vb2gv
white,dlzcwmj,2.0,pants,pants,6vb2gv
colorful,dm01n71,2.0,pants,pants,6vb2gv
,dm01n71,2.0,pants,pants,6vb2gv
palazzo,dm8d1w4,2.0,pants,pants,6vb2gv
skinny,dlzk1lr,1.0,pants,pants,6vb2gv
,dlzkyum,1.0,pants,pants,6vb2gv
,dlzyc0l,1.0,pants,pants,6vb2gv
skinny,dlzyej9,1.0,pants,pants,6vb2gv
,dlzyej9,1.0,pants,pants,6vb2gv
